check_id,area,expectation,status,notes
rfp3-01,render,Ritual flow renders from story route,pass,Stage transition preserved
rfp3-02,visual,Warm child-facing ritual surface is present,pass,Cream/saffron and rounded card treatment
rfp3-03,ux,Ritual is not plain checklist,pass,Ceremonial framing and calm copy
rfp3-04,copy,Clear child-friendly title and explanation,pass,Diya of Calm framing
rfp3-05,steps,Simple three-step structure,pass,Pause and breathe; think and reflect; thank and bless
rfp3-06,context,Story/value connection included when available,pass,Value-aware reflection text
rfp3-07,moru,Moru guidance appears and is short,pass,One short Moru guide card
rfp3-08,moru-balance,Moru does not dominate ritual,pass,Single helper card only
rfp3-09,audio-guard,No audio playback/mic/recording added,pass,Text-only guidance
rfp3-10,parent-prompt,Parent-child reflection prompt exists,pass,Short ask + shared line
rfp3-11,completion-copy,Completion uses diya/blessing framing not gamification,pass,Gentle ceremonial completion sentence
rfp3-12,fallback,Missing context fallback remains graceful,pass,Story resting copy retained
rfp3-13,handoff,Story completion and ritual handoff preserved,pass,Flow unchanged structurally
rfp3-14,bedtime,Existing bedtime mode behavior preserved,pass,Bedtime stage untouched functionally
rfp3-15,trust,Parent-trust/privacy-safe direction preserved,pass,No new data collection
rfp3-16,scope-guard,No forbidden launch/backend/analytics scope added,pass,Governance constraints maintained
