screen_id,tier,usage,future_only
001,Primary Prototype / Visual Soul,primary visual north star,false
002,Primary Prototype / Visual Soul,primary visual north star,false
003,Primary Prototype / Visual Soul,primary visual north star,false
004,Primary Prototype / Visual Soul,primary visual north star,false
005,Primary Prototype / Visual Soul,primary visual north star,false
006,Primary Prototype / Visual Soul,primary visual north star,false
007,Primary Prototype / Visual Soul,primary visual north star,false
008,Primary Prototype / Visual Soul,primary visual north star,false
009,Primary Prototype / Visual Soul,primary visual north star,false
010,Primary Prototype / Visual Soul,primary visual north star,false
011,Primary Prototype / Visual Soul,primary visual north star,false
012,Primary Prototype / Visual Soul,primary visual north star,false
013,Primary Prototype / Visual Soul,primary visual north star,false
014,Primary Prototype / Visual Soul,primary visual north star,false
015,Primary Prototype / Visual Soul,primary visual north star,false
016,Primary Prototype / Visual Soul,primary visual north star,false
017,Primary Prototype / Visual Soul,primary visual north star,false
018,Primary Prototype / Visual Soul,primary visual north star,false
019,Primary Prototype / Visual Soul,primary visual north star,false
020,Primary Prototype / Visual Soul,primary visual north star,false
021,Primary Prototype / Visual Soul,primary visual north star,false
022,Primary Prototype / Visual Soul,primary visual north star,false
023,Primary Prototype / Visual Soul,primary visual north star,false
024,Primary Prototype / Visual Soul,primary visual north star,false
025,Primary Prototype / Visual Soul,primary visual north star,false
026,Primary Prototype / Visual Soul,primary visual north star,false
027,Primary Prototype / Visual Soul,primary visual north star,false
028,Primary Prototype / Visual Soul,primary visual north star,false
029,Primary Prototype / Visual Soul,primary visual north star,false
030,Primary Prototype / Visual Soul,primary visual north star,false
031,Primary Prototype / Visual Soul,primary visual north star,false
032,Primary Prototype / Visual Soul,primary visual north star,false
033,Primary Prototype / Visual Soul,primary visual north star,false
034,Primary Prototype / Visual Soul,primary visual north star,false
035,Primary Prototype / Visual Soul,primary visual north star,false
036,Primary Prototype / Visual Soul,primary visual north star,false
037,Primary Prototype / Visual Soul,primary visual north star,false
038,Primary Prototype / Visual Soul,primary visual north star,false
039,Primary Prototype / Visual Soul,primary visual north star,false
040,Primary Prototype / Visual Soul,primary visual north star,false
041,Primary Prototype / Visual Soul,primary visual north star,false
042,Primary Prototype / Visual Soul,primary visual north star,false
043,Primary Prototype / Visual Soul,primary visual north star,false
044,Primary Prototype / Visual Soul,primary visual north star,false
045,Primary Prototype / Visual Soul,primary visual north star,false
046,Immediate Next 100 / Product Expansion,product-depth expansion,false
047,Immediate Next 100 / Product Expansion,product-depth expansion,false
048,Immediate Next 100 / Product Expansion,product-depth expansion,false
049,Immediate Next 100 / Product Expansion,product-depth expansion,false
050,Immediate Next 100 / Product Expansion,product-depth expansion,false
051,Immediate Next 100 / Product Expansion,product-depth expansion,false
052,Immediate Next 100 / Product Expansion,product-depth expansion,false
053,Immediate Next 100 / Product Expansion,product-depth expansion,false
054,Immediate Next 100 / Product Expansion,product-depth expansion,false
055,Immediate Next 100 / Product Expansion,product-depth expansion,false
056,Immediate Next 100 / Product Expansion,product-depth expansion,false
057,Immediate Next 100 / Product Expansion,product-depth expansion,false
058,Immediate Next 100 / Product Expansion,product-depth expansion,false
059,Immediate Next 100 / Product Expansion,product-depth expansion,false
060,Immediate Next 100 / Product Expansion,product-depth expansion,false
061,Immediate Next 100 / Product Expansion,product-depth expansion,false
062,Immediate Next 100 / Product Expansion,product-depth expansion,false
063,Immediate Next 100 / Product Expansion,product-depth expansion,false
064,Immediate Next 100 / Product Expansion,product-depth expansion,false
065,Immediate Next 100 / Product Expansion,product-depth expansion,false
066,Immediate Next 100 / Product Expansion,product-depth expansion,false
067,Immediate Next 100 / Product Expansion,product-depth expansion,false
068,Immediate Next 100 / Product Expansion,product-depth expansion,false
069,Immediate Next 100 / Product Expansion,product-depth expansion,false
070,Immediate Next 100 / Product Expansion,product-depth expansion,false
071,Immediate Next 100 / Product Expansion,product-depth expansion,false
072,Immediate Next 100 / Product Expansion,product-depth expansion,false
073,Immediate Next 100 / Product Expansion,product-depth expansion,false
074,Immediate Next 100 / Product Expansion,product-depth expansion,false
075,Immediate Next 100 / Product Expansion,product-depth expansion,false
076,Immediate Next 100 / Product Expansion,product-depth expansion,false
077,Immediate Next 100 / Product Expansion,product-depth expansion,false
078,Immediate Next 100 / Product Expansion,product-depth expansion,false
079,Immediate Next 100 / Product Expansion,product-depth expansion,false
080,Immediate Next 100 / Product Expansion,product-depth expansion,false
081,Immediate Next 100 / Product Expansion,product-depth expansion,false
082,Immediate Next 100 / Product Expansion,product-depth expansion,false
083,Immediate Next 100 / Product Expansion,product-depth expansion,false
084,Immediate Next 100 / Product Expansion,product-depth expansion,false
085,Immediate Next 100 / Product Expansion,product-depth expansion,false
086,Immediate Next 100 / Product Expansion,product-depth expansion,false
087,Immediate Next 100 / Product Expansion,product-depth expansion,false
088,Immediate Next 100 / Product Expansion,product-depth expansion,false
089,Immediate Next 100 / Product Expansion,product-depth expansion,false
090,Immediate Next 100 / Product Expansion,product-depth expansion,false
091,Immediate Next 100 / Product Expansion,product-depth expansion,false
092,Immediate Next 100 / Product Expansion,product-depth expansion,false
093,Immediate Next 100 / Product Expansion,product-depth expansion,false
094,Immediate Next 100 / Product Expansion,product-depth expansion,false
095,Immediate Next 100 / Product Expansion,product-depth expansion,false
096,Immediate Next 100 / Product Expansion,product-depth expansion,false
097,Immediate Next 100 / Product Expansion,product-depth expansion,false
098,Immediate Next 100 / Product Expansion,product-depth expansion,false
099,Immediate Next 100 / Product Expansion,product-depth expansion,false
100,Immediate Next 100 / Product Expansion,product-depth expansion,false
101,Immediate Next 100 / Product Expansion,product-depth expansion,false
102,Immediate Next 100 / Product Expansion,product-depth expansion,false
103,Immediate Next 100 / Product Expansion,product-depth expansion,false
104,Immediate Next 100 / Product Expansion,product-depth expansion,false
105,Immediate Next 100 / Product Expansion,product-depth expansion,false
106,Immediate Next 100 / Product Expansion,product-depth expansion,false
107,Immediate Next 100 / Product Expansion,product-depth expansion,false
108,Immediate Next 100 / Product Expansion,product-depth expansion,false
109,Immediate Next 100 / Product Expansion,product-depth expansion,false
110,Immediate Next 100 / Product Expansion,product-depth expansion,false
111,Immediate Next 100 / Product Expansion,product-depth expansion,false
112,Immediate Next 100 / Product Expansion,product-depth expansion,false
