testId,qaArea,userRole,surface,precondition,steps,expectedResult,severityIfFail,status,notes
MQA-001,app launch,child,Expo Go app load,Fresh install or clean cache,"Open Expo Go build and wait for initial render",App launches without crash/red screen and routes to expected start surface,P0_blocker,pending_manual_qa,
MQA-002,app launch,parent,App resume flow,App previously opened,"Background app then resume",App resumes without crash and state corruption,P1_critical,pending_manual_qa,
MQA-003,onboarding/profile,parent,Parent profile snapshot,No profile set,"Open parent area and review profile defaults",Safe defaults render and no blocking errors,P2_major,pending_manual_qa,
MQA-004,onboarding/profile,parent,Returning profile state,Profile exists,"Re-open app and navigate to parent dashboard",Existing profile data appears consistently,P2_major,pending_manual_qa,
MQA-005,child home,child,Child Home v3 empty,No story completed,"Open Child Home",Empty/starting guidance is readable and action-oriented,P1_critical,pending_manual_qa,
MQA-006,child home,child,Child Home v3 partial,1-20 stories complete,"Open Child Home after partial progress",Next-step cue and progress summaries are accurate,P1_critical,pending_manual_qa,
MQA-007,story path,child,Vrindavan path map,At least one story unlocked,"Open Today flow into path map",Story nodes reflect locked/ready/completed states correctly,P1_critical,pending_manual_qa,
MQA-008,story path,child,Vrindavan 1-21 sequence,Controlled test progression,"Complete stories in order and verify next unlock",Path progression to story 21 behaves deterministically,P1_critical,pending_manual_qa,
MQA-009,story detail,child,Story detail screen,Open any available story,"Open story detail and inspect hero/content metadata",Title/value/structure are present and readable,P2_major,pending_manual_qa,
MQA-010,story detail,child,Story detail navigation,Story detail loaded,"Tap begin and back behaviors",Navigation enters story flow and returns safely without trap,P1_critical,pending_manual_qa,
MQA-011,ritual,child,Ritual Moment v2 Say,Story in ritual step,"Validate Say segment text and pacing",Say step shows expected copy with calm readability,P1_critical,pending_manual_qa,
MQA-012,ritual,child,Ritual Moment v2 Breathe,Story in ritual step,"Validate Breathe segment and timing cues",Breathe step is visible and understandable without UI break,P1_critical,pending_manual_qa,
MQA-013,ritual,child,Ritual Moment v2 Reflect,Story in ritual step,"Validate Reflect prompt and progression",Reflect prompt appears and progression continues correctly,P1_critical,pending_manual_qa,
MQA-014,quiz,child,Quiz step rendering,Story reached quiz,"Answer quiz options and submit",Quiz choices respond and selected answer feedback appears,P1_critical,pending_manual_qa,
MQA-015,quiz,child,Quiz completion transition,Quiz submitted,"Advance from quiz to completion",Transition succeeds without crash or navigation dead end,P1_critical,pending_manual_qa,
MQA-016,completion,child,Completion card,Quiz completed,"Review completion summary",Completion content shows story/value/badge context correctly,P1_critical,pending_manual_qa,
MQA-017,completion,child,Read Again action,At completion,"Tap Read Again",Story restarts correctly without corrupting progress,P2_major,pending_manual_qa,
MQA-018,completion,child,Done for Today action,At completion,"Tap Done for Today",Returns to expected surface and preserves local completion,P1_critical,pending_manual_qa,
MQA-019,bedtime,child,Bedtime Mode v2 entry,At completion,"Enter Bedtime Mode",Bedtime mode opens from completion without crash,P1_critical,pending_manual_qa,
MQA-020,bedtime,child,Bedtime Mode v2 content,Bedtime mode open,"Review Say/Breathe/Reflect bedtime-calm framing",Low-stimulation bedtime content is readable and complete,P2_major,pending_manual_qa,
MQA-021,completion,child,21-story completion state,All 21 stories complete,"Return to Child Home and related summaries",Celebration/continuation state appears without regressions,P1_critical,pending_manual_qa,
MQA-022,treasures,child,My Treasures v2 empty,No stories complete,"Open Treasures",Empty state is informative and non-punitive,P2_major,pending_manual_qa,
MQA-023,treasures,child,My Treasures v2 earned,At least one completion,"Open Treasures after completion",Earned treasure(s) and summary data are accurate,P1_critical,pending_manual_qa,
MQA-024,values garden,child,Values Garden v1 empty,No completions,"Open Values Garden",Empty state copy is clear and stable,P2_major,pending_manual_qa,
MQA-025,values garden,child,Values Garden v1 populated,Multiple completions,"Open Values Garden and inspect values",Unlocked values reflect completion history accurately,P1_critical,pending_manual_qa,
MQA-026,parent dashboard,parent,Parent Dashboard v3 empty,No completions,"Open Parent Dashboard",Empty-state parent guidance renders with trust framing,P2_major,pending_manual_qa,
MQA-027,parent dashboard,parent,Parent Dashboard v3 populated,Recent completion exists,"Open Parent Dashboard after story completion",Latest story/value/ritual summaries are materially correct,P1_critical,pending_manual_qa,
MQA-028,trust privacy center,parent,Privacy center access,Parent surface available,"Navigate to Trust & Privacy Center",Route is accessible and loads without error,P0_blocker,pending_manual_qa,
MQA-029,trust privacy center,parent,Privacy center content,Privacy center open,"Read key trust/privacy sections",Local-only/no-ads/no-public-profile posture is clearly communicated,P1_critical,pending_manual_qa,
MQA-030,navigation,child,Child to parent switching,Both surfaces available,"Navigate Child Home to Parent surfaces and back",No trap loops; navigation remains recoverable,P1_critical,pending_manual_qa,
MQA-031,safety privacy,parent,Data trust copy checks,Parent trust screens available,"Review privacy-related copy for overclaims",Copy avoids false claims and preserves trust accuracy,P1_critical,pending_manual_qa,
MQA-032,layout readability,child,iPhone small-screen readability,Use smaller iPhone device,"Review text clipping/tap comfort on core flows",No critical clipping and tap targets remain usable,P2_major,pending_manual_qa,
MQA-033,no dark patterns,parent,Retention/copy ethics checks,Core child+parent flows available,"Review CTA/copy for coercive or manipulative patterns",No dark-pattern retention mechanics are present,P1_critical,pending_manual_qa,
MQA-034,navigation,parent,Parent to child switching,Parent route open,"Return from parent screens to child ritual surfaces",Flow returns safely with preserved state,P1_critical,pending_manual_qa,
MQA-035,layout readability,parent,Parent screens readability,Any iPhone in matrix,"Check dashboard/privacy card spacing and legibility",Parent surfaces are readable without blocking overlap,P2_major,pending_manual_qa,
