eventName,eventCategory,purpose,allowedFields,forbiddenFields,consentRequired,implementationStatus,riskLevel,notes
app_opened,app_lifecycle_aggregate,Measure aggregate app opens,"event_name|timestamp_bucket|app_version|surface","child_name|contact_details|device_fingerprint|advertising_id",yes,proposed_only,low,Aggregate lifecycle signal only
app_resumed,app_lifecycle_aggregate,Measure aggregate resume behavior,"event_name|timestamp_bucket|app_version|surface","child_name|ip_address|gps_location",yes,proposed_only,low,No user identity linkage
parent_dashboard_viewed,parent_dashboard_usage,Understand parent dashboard utility,"event_name|timestamp_bucket|surface|completion_state","free_text_feedback|raw_reflection_text|contact_details",yes,proposed_only,low,Parent surface interaction only
parent_feedback_opened,parent_feedback_flow_usage,Understand feedback entry visibility,"event_name|timestamp_bucket|surface","free_text_feedback|contact_details|device_fingerprint",yes,proposed_only,low,Open event only
parent_feedback_saved_local,parent_feedback_flow_usage,Track completion of local structured feedback flow,"event_name|timestamp_bucket|surface|completion_state","free_text_feedback|raw_reflection_text|contact_details",yes,proposed_only,medium,Structured metadata only
privacy_center_viewed,feature_discovery,Measure discovery of trust surface,"event_name|timestamp_bucket|surface","child_name|contact_details|advertising_id",yes,proposed_only,low,Trust signal for discoverability
treasures_viewed,feature_discovery,Measure non-sensitive usage of rewards surface,"event_name|timestamp_bucket|surface|journey_world","child_name|behavior_profile|leaderboard_rank",yes,proposed_only,low,No social comparisons
story_started,story_journey_progress_aggregate,Track aggregate story start rate,"event_name|timestamp_bucket|surface|journey_world|story_slug","raw_reflection_text|child_name|gps_location",yes,proposed_only,medium,Story slug must remain non-sensitive
story_completed,story_journey_progress_aggregate,Track aggregate story completion,"event_name|timestamp_bucket|surface|journey_world|story_slug|completion_state","child_name|school_name|behavior_profile",yes,proposed_only,medium,No child scoring semantics
ritual_completed,ritual_completion_aggregate,Measure ritual completion at aggregate level,"event_name|timestamp_bucket|surface|journey_world|completion_state","raw_reflection_text|child_name|performance_score",yes,proposed_only,medium,No ranking/scoring
route_fallback_shown,error_fallback_aggregate,Monitor fallback frequency for quality,"event_name|timestamp_bucket|surface|completion_state","device_fingerprint|ip_address|contact_details",no,proposed_only,low,Non-diagnostic aggregate fallback signal
loading_skeleton_shown,loading_experience_aggregate,Measure loading-state exposure,"event_name|timestamp_bucket|surface","child_name|device_fingerprint|advertising_id",no,proposed_only,low,No identity fields
loading_wait_bucket_recorded,loading_experience_aggregate,Track coarse wait experience buckets,"event_name|timestamp_bucket|surface|local_session_type","precise_timestamp|behavior_profile|ip_address",no,proposed_only,medium,Bucketed duration only
parent_dashboard_section_opened,parent_dashboard_usage,Understand section-level utility,"event_name|timestamp_bucket|surface","free_text_feedback|child_name|contact_details",yes,proposed_only,low,No per-child attribution
story_exit_before_completion,story_journey_progress_aggregate,Understand aggregate drop-off points,"event_name|timestamp_bucket|surface|journey_world|story_slug|completion_state","raw_reflection_text|child_name|behavior_profile",yes,blocked_until_privacy_review,high,Requires explicit review of drop-off semantics
age_band_routing_observed,feature_discovery,Evaluate age-band discoverability assumptions,"event_name|timestamp_bucket|surface|age_band","exact_birth_date|child_name|school_name",yes,blocked_until_privacy_review,high,Blocked until age-band policy approval
child_name_entered,prohibited_identity_tracking,Track child identity entry,"none","child_name|contact_details|profile_identifier",no,prohibited,prohibited,Explicitly prohibited
child_location_captured,prohibited_location_tracking,Track exact location,"none","gps_location|ip_address|device_fingerprint",no,prohibited,prohibited,Explicitly prohibited
parent_contact_exported,prohibited_contact_tracking,Track contact export behavior,"none","phone|email|contact_details",no,prohibited,prohibited,Explicitly prohibited
raw_reflection_submitted,prohibited_sensitive_content,Track raw child reflections,"none","raw_reflection_text|child_name|school_name",no,prohibited,prohibited,Explicitly prohibited
feedback_text_uploaded,prohibited_sensitive_content,Upload free-text parent feedback,"none","free_text_feedback|contact_details|ip_address",no,prohibited,prohibited,Explicitly prohibited
child_rank_calculated,prohibited_scoring,Compute child ranking metrics,"none","performance_score|leaderboard_rank|behavior_profile",no,prohibited,prohibited,Explicitly prohibited
streak_pressure_shown,prohibited_dark_pattern,Track pressure-oriented streak mechanics,"none","dark_pattern_metric|behavior_profile|child_name",no,prohibited,prohibited,Explicitly prohibited
ad_identifier_linked,prohibited_ad_tracking,Link advertising identifier,"none","advertising_id|device_fingerprint|ip_address",no,prohibited,prohibited,Explicitly prohibited
