qaArea,surface,expectedBehavior,status,notes
rendering,My Treasures,Screen loads with warm title and intro card,pass,
framing,My Treasures,Uses story memory and blessing language,pass,
completion cards,My Treasures,Cards render for completed stories,pass,
story metadata,My Treasures,Card shows story title where available,pass,
value metadata,My Treasures,Card shows value practiced where available,pass,
metaphors,My Treasures,Uses diya flower blessing memory language,pass,
empty state,My Treasures,Shows warm empty state and CTA to /(child)/worlds or Today,pass,
luvlu helper,My Treasures,Luvlu guidance is short and helpful,pass,
luvlu balance,My Treasures,Luvlu does not dominate screen,pass,
parent trust,My Treasures,Subtle local-first non-competitive copy present,pass,
forbidden scope,My Treasures,No XP coins streak leaderboard language,pass,
scope guard,My Treasures,No backend auth cloud analytics telemetry audio recording changes,pass,
navigation,Child Home to My Treasures,Navigation remains stable,pass,
revisit route,My Treasures,Revisit story links use /story/<slug>,pass,
