baseStoryId,baseStoryTitle,contentWorld,contentLabel,sourceSensitivityTier,primaryValue,supportingValue,carryingWordSeed,ageBandCoverage,plannedExperienceCount,sourceSummary,parentSourceNote,authenticityRisk,ritualPotential,parentMirrorPotential,bedtimePotential,releasePhase,releasePriority,reviewStatus,notes
"BSI-0001","vrindavan krishna story seed 1","vrindavan_krishna","traditional_retelling","tier_2_traditional_retelling","kindness","humility","kindness","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","public_beta","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0002","vrindavan krishna story seed 2","vrindavan_krishna","traditional_retelling","tier_2_traditional_retelling","courage","compassion","courage","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","later_phase","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0003","vrindavan krishna story seed 3","vrindavan_krishna","traditional_retelling","tier_2_traditional_retelling","truth","discipline","truth","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","private_alpha","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0004","vrindavan krishna story seed 4","vrindavan_krishna","traditional_retelling","tier_2_traditional_retelling","patience","service","patience","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","high","medium","public_beta","P2","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0005","vrindavan krishna story seed 5","vrindavan_krishna","traditional_retelling","tier_2_traditional_retelling","gratitude","wisdom","gratitude","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","high","later_phase","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0006","vrindavan krishna story seed 6","vrindavan_krishna","traditional_retelling","tier_2_traditional_retelling","humility","humility","humility","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0007","vrindavan krishna story seed 7","vrindavan_krishna","canonical_story","tier_1_canonical_sacred","devotion","compassion","devotion","ages_3_5|ages_6_8|ages_9_12","3","Conservative canonical episode framing for child-safe retelling; exact verse mapping requires reviewer confirmation.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","high","medium","medium","medium","public_beta","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0008","vrindavan krishna story seed 8","vrindavan_krishna","traditional_retelling","tier_2_traditional_retelling","friendship","discipline","friendship","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","high","medium","later_phase","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0009","vrindavan krishna story seed 9","vrindavan_krishna","traditional_retelling","tier_2_traditional_retelling","generosity","service","generosity","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","high","medium","medium","private_alpha","P3","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0010","vrindavan krishna story seed 10","vrindavan_krishna","traditional_retelling","tier_2_traditional_retelling","focus","wisdom","focus","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","high","public_beta","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
"BSI-0011","vrindavan krishna story seed 11","vrindavan_krishna","traditional_retelling","tier_2_traditional_retelling","forgiveness","humility","forgiveness","ages_3_5|ages_6_8|ages_9_12","3","Inspired by devotional storytelling tradition and common oral retelling patterns; final sourcing to be reviewed.","Parent note: traditional/canonical-inspired retelling reviewed for respectful tone; verify source note before wide release.","medium","medium","medium","medium","later_phase","P1","needs_source_review","Index-only base concept for Sprint 39; full story writing deferred."
